"VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
9708,22329,"Ozark-Ouachita Riparian Herbaceous",9207,2472,"Tr Central Interior and Appalachian Riparian Systems","Herb","Riparian",668,"Eastern Small Stream Riparian Forests","SAF 61: River Birch-Sycamore","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",0,92,0,0,0.360784,0,4966,0.1
9725,13069,"South-Central Interior Large Floodplain Herbaceous",9223,2471,"Tr Central Interior and Appalachian Floodplain Systems","Herb","Riparian",666,"Eastern Floodplain Forests","SAF 61: River Birch-Sycamore","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",0,92,0,0,0.360784,0,2906,0.1
9783,12815,"West Gulf Coastal Plain Large River Floodplain Herbaceous",9282,2473,"Tr Gulf and Atlantic Coastal Plain Floodplain Systems","Herb","Riparian",666,"Eastern Floodplain Forests","SAF 92: Sweetgum-Willow Oak","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",145,255,115,0.568627,1,0.45098,2850,0.1
7295,1259,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",7295,32,"Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",32,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","LF 20: Developed","Non-vegetated","Non-vegetated","Developed",230,232,250,0.901961,0.909804,0.980392,280,0
7378,2992,"West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland",7378,2378,"Tr West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland","Tree","Conifer",689,"Shortleaf Pine Woodland","SAF 76: Shortleaf Pine-Oak","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",116,214,190,0.454902,0.839216,0.745098,665,0
7415,520,"Arkansas Valley Prairie",7415,2415,"Tr Arkansas Valley Prairie and Woodland","Herb","Grassland",688,"Prairies and Barrens","SRM 732: Cross Timbers-Texas Little Bluestem-Post Oak","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,153,0,1,0.6,0,116,0
7428,5466,"West Gulf Coastal Plain Northern Calcareous Prairie",7428,2428,"He West Gulf Coastal Plain Northern Calcareous Prairie","Herb","Grassland",688,"Prairies and Barrens","SRM 717: Little Bluestem-Indiangrass-Texas Wintergrass","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,148,71,1,0.580392,0.278431,1216,0
7442,3378,"Arkansas Valley Prairie and Woodland",7415,2415,"Tr Arkansas Valley Prairie and Woodland","Tree","Hardwood",688,"Prairies and Barrens","SRM 732: Cross Timbers-Texas Little Bluestem-Post Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",255,153,0,1,0.6,0,751,0
7458,52,"West Gulf Coastal Plain Pine Flatwoods",7458,2458,"Tr West Gulf Coastal Plain Pine Flatwoods","Tree","Conifer",684,"Pine Flatwoods","SAF 82: Loblolly Pine-Hardwood","Tree-dominated","Open tree canopy","Evergreen open tree canopy",145,255,115,0.568627,1,0.45098,12,0
7462,2303,"West Gulf Coastal Plain Seepage Swamp and Baygall",7462,2462,"Tr West Gulf Coastal Plain Seepage Swamp and Baygall","Tree","Riparian",694,"Atlantic Swamp Forests","LF 47: Gulf Coastal Plain Swamp","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",216,216,191,0.847059,0.847059,0.74902,512,0
7506,4739,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods",7506,2506,"Tr West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods","Tree","Riparian",673,"Hardwood Flatwoods","SAF 88: Willow Oak-Water Oak-Diamondleaf Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",145,255,115,0.568627,1,0.45098,1054,0
7519,237,"East-Central Texas Plains Post Oak Savanna and Woodland",7519,2519,"Tr East-Central Texas Plains Post Oak Savanna and Woodland","Tree","Hardwood",662,"Post Oak Woodland and Savanna","SAF 40: Post Oak-Blackjack Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",85,187,194,0.333333,0.733333,0.760784,53,0
7586,1467,"West Gulf Coastal Plain Sandhill Oak Forest and Woodland",7378,2586,"Tr West Gulf Coastal Plain Sandhill Oak Forest and Woodland","Tree","Hardwood",689,"Shortleaf Pine Woodland","SAF 76: Shortleaf Pine-Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",116,214,190,0.454902,0.839216,0.745098,326,0
7587,381,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland",7378,2587,"Tr West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Tree","Conifer-Hardwood",689,"Shortleaf Pine Woodland","SAF 76: Shortleaf Pine-Oak","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",116,214,190,0.454902,0.839216,0.745098,85,0
7590,61,"West Gulf Coastal Plain Hardwood Flatwoods",7458,2590,"Tr West Gulf Coastal Plain Hardwood Flatwoods","Tree","Hardwood",684,"Pine Flatwoods","SAF 82: Loblolly Pine-Hardwood","Tree-dominated","Open tree canopy","Deciduous open tree canopy",145,255,115,0.568627,1,0.45098,14,0
7591,10,"West Gulf Coastal Plain Pine-Hardwood Flatwoods",7458,2591,"Tr West Gulf Coastal Plain Pine-Hardwood Flatwoods","Tree","Conifer-Hardwood",684,"Pine Flatwoods","SAF 82: Loblolly Pine-Hardwood","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",145,255,115,0.568627,1,0.45098,2,0
7909,77,"Eastern Cool Temperate Urban Shrubland",7909,2917,"Dsh Urban Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",207,171,215,0.811765,0.670588,0.843137,17,0
7927,6805,"Eastern Cool Temperate Developed Mixed Forest",7927,2910,"Dtm Developed Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",68,79,137,0.266667,0.309804,0.537255,1513,0
7928,233,"Eastern Cool Temperate Developed Shrubland",7928,2912,"Dsh Developed Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,142,245,0.478431,0.556863,0.960784,52,0
7970,821,"Eastern Cool Temperate Orchard",7970,2960,"Dab Orchard","Tree","Agricultural",60,"Agricultural-Orchard","LF 80: Agriculture","Tree-dominated","Open tree canopy","Deciduous open tree canopy",210,28,94,0.823529,0.109804,0.368627,183,0
7971,3,"Eastern Cool Temperate Vineyard",7971,2961,"Da Vineyard","Agriculture","Agricultural",61,"Agricultural-Vineyard","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",168,0,132,0.658824,0,0.517647,1,0
7973,74,"Eastern Cool Temperate Row Crop - Close Grown Crop",7973,2963,"Da Row Crop - Close Grown Crop","Agriculture","Agricultural",63,"Agricultural-Row Crop-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,245,140,1,0.960784,0.54902,16,0
7975,1196,"Eastern Cool Temperate Close Grown Crop",7975,2965,"Da Close Grown Crop","Agriculture","Agricultural",65,"Agricultural-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,237,119,1,0.929412,0.466667,266,0
7978,1253,"Eastern Cool Temperate Wheat",7978,2968,"Da Wheat","Agriculture","Agricultural",68,"Agricultural-Wheat","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,227,163,0.980392,0.890196,0.639216,279,0
7979,1,"Eastern Cool Temperate Aquaculture",7979,2969,"Da Aquaculture","Agriculture","Agricultural",69,"Agricultural-Aquaculture","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",210,255,237,0.823529,1,0.929412,0,0
7990,1,"Eastern Warm Temperate Orchard",7990,2960,"Dab Orchard","Tree","Agricultural",60,"Agricultural-Orchard","LF 80: Agriculture","Tree-dominated","Open tree canopy","Deciduous open tree canopy",210,28,94,0.823529,0.109804,0.368627,0,0
7994,1,"Eastern Warm Temperate Row Crop",7994,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,0,0
9064,203,"Central Interior Acidic Cliff and Talus",9064,2497,"Sps Central Interior and Appalachian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,45,0
9227,5,"Southeastern Coastal Plain Cliff",9227,2498,"Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,1,0
9320,551,"Southeastern Native Ruderal Flooded & Swamp Forest",9320,2572,"Tr Southeastern Native Ruderal Flooded & Swamp Forest","Tree","Riparian",708,"Introduced Woody Wetland Vegetation","LF 58: Introduced Woody Wetlands and Riparian Vegetation","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,132,168,0,0.517647,0.658824,123,0
9323,7179,"Southeastern Ruderal Shrubland",9323,2575,"Sh Southeastern Ruderal Grassland & Shrubland","Shrub","Exotic Tree-Shrub",706,"Introduced Upland Vegetation-Shrub","LF 52: Introduced Upland Vegetation - Shrub","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,105,46,1,0.411765,0.180392,1597,0
9324,2070,"Southeastern Ruderal Wet Meadow & Marsh",9324,2576,"He Southeastern Ruderal Wet Meadow & Marsh","Herb","Riparian",709,"Introduced Herbaceous Wetland Vegetation","LF 59: Introduced Herbaceous Wetland and Riparian Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,460,0
9707,51,"Ozark-Ouachita Riparian Shrubland",9207,2472,"Tr Central Interior and Appalachian Riparian Systems","Shrub","Riparian",668,"Eastern Small Stream Riparian Forests","SAF 61: River Birch-Sycamore","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",0,92,0,0,0.360784,0,11,0
9723,172,"South-Central Interior Large Floodplain Shrubland",9223,2471,"Tr Central Interior and Appalachian Floodplain Systems","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 61: River Birch-Sycamore","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",0,92,0,0,0.360784,0,38,0
9782,185,"West Gulf Coastal Plain Large River Floodplain Shrubland",9282,2473,"Tr Gulf and Atlantic Coastal Plain Floodplain Systems","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 92: Sweetgum-Willow Oak","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",145,255,115,0.568627,1,0.45098,41,0
9784,61,"West Gulf Coastal Plain Small Stream and River Shrubland",9284,2474,"Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Shrub","Riparian",668,"Eastern Small Stream Riparian Forests","SAF 92: Sweetgum-Willow Oak","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",145,255,115,0.568627,1,0.45098,14,0
9785,3813,"West Gulf Coastal Plain Small Stream and River Herbaceous",9284,2474,"Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Herb","Riparian",668,"Eastern Small Stream Riparian Forests","SAF 92: Sweetgum-Willow Oak","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",145,255,115,0.568627,1,0.45098,848,0
9994,956,"West Gulf Coastal Plain Herbaceous Seep and Bog",9994,2597,"He West Gulf Coastal Plain Herbaceous Seep and Bog","Herb","Riparian",675,"Inland Marshes and Prairies","LF 70: Gulf Coastal Plain Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,153,0,1,0.6,0,213,0
